"country","year","score"
"India",2021,3.558253765106201
"India",2022,3.929816246032715
"India",2023,4.676008701324463
"Indonesia",2021,5.433173179626465
"Indonesia",2022,5.584685802459717
"Indonesia",2023,5.694869518280029
"Iran",2021,4.787814140319824
"Iran",2022,4.976995468139648
"Iran",2023,5.0042805671691895
"Iraq",2021,5.093667984008789
"Iraq",2022,4.927995681762695
"Iraq",2023,5.475371837615967
"Ireland",2021,6.8276519775390625
"Ireland",2022,6.869863986968994
"Ireland",2023,6.816531181335449
"Israel",2021,7.57752799987793
"Israel",2022,7.662397384643555
"Israel",2023,6.783402442932129
"Italy",2021,6.466744899749756
"Italy",2022,6.258476734161377
"Italy",2023,6.24511194229126
"Ivory Coast",2021,5.055806636810303
"Ivory Coast",2022,4.8486738204956055
"Ivory Coast",2023,5.336585521697998
"Jamaica",2021,5.8137335777282715
"Jamaica",2022,5.870189189910889
"Japan",2021,6.091324806213379
"Japan",2022,6.178009986877441
"Japan",2023,5.910115718841553
"Jordan",2021,3.909149169921875
"Jordan",2022,4.355606555938721
"Jordan",2023,4.2920331954956055
"Kazakhstan",2021,6.259634017944336
"Kazakhstan",2022,6.006279468536377
"Kazakhstan",2023,6.299432754516602
"Kenya",2021,4.464540958404541
"Kenya",2022,4.447946548461914
"Kenya",2023,4.49622917175293
"Kiribati",2021,NA
"Kiribati",2022,NA
"Kiribati",2023,NA
"Kosovo",2021,6.648499488830566
"Kosovo",2022,6.159853458404541
"Kosovo",2023,6.877792835235596
"Kuwait",2022,6.757829189300537
"Kuwait",2023,7.130284309387207
"Kyrgyzstan",2021,5.563699722290039
"Kyrgyzstan",2022,5.667840957641602
"Kyrgyzstan",2023,5.909509181976318
"Laos",2021,4.9265217781066895
"Laos",2022,4.96165657043457
"Laos",2023,5.486371994018555
"Latvia",2021,6.353090763092041
"Latvia",2022,6.054838180541992
"Latvia",2023,6.295644760131836
"Lebanon",2021,2.178809404373169
"Lebanon",2022,2.3524277210235596
"Lebanon",2023,3.5879082679748535
"Lesotho",2022,3.1861624717712402
"Liberia",2022,4.04226016998291
"Liberia",2023,4.49391508102417
"Libya",2022,5.7602739334106445
"Libya",2023,5.9702887535095215
"Liechtenstein",2021,NA
"Liechtenstein",2022,NA
"Liechtenstein",2023,NA
"Lithuania",2021,6.864572525024414
"Lithuania",2022,7.037577152252197
"Lithuania",2023,6.552654266357422
"Luxembourg",2022,7.227934837341309
"Luxembourg",2023,7.016062259674072
"Madagascar",2022,4.019134044647217
"Madagascar",2023,4.433000564575195
"Malawi",2021,3.6352832317352295
"Malawi",2022,3.3555634021759033
"Malawi",2023,3.272091865539551
"Malaysia",2021,6.010391712188721
"Malaysia",2022,6.048006534576416
"Malaysia",2023,5.868102073669434
"Mali",2021,4.113095760345459
"Mali",2022,4.210547924041748
"Mali",2023,4.369976043701172
"Malta",2021,6.4437150955200195
"Malta",2022,6.299238204956055
"Malta",2023,6.294854640960693
"Marshall Islands",2021,NA
"Marshall Islands",2022,NA
"Marshall Islands",2023,NA
"Mauritania",2022,4.7238688468933105
"Mauritania",2023,4.292047500610352
"Mauritius",2021,5.949120044708252
"Mauritius",2022,5.7405009269714355
"Mauritius",2023,5.759169101715088
"Mexico",2021,5.990750789642334
"Mexico",2022,7.0383687019348145
"Mexico",2023,7.005731582641602
"Micronesia",2021,NA
"Micronesia",2022,NA
"Micronesia",2023,NA
"Moldova",2021,5.959048748016357
"Moldova",2022,5.686611652374268
"Moldova",2023,5.801368236541748
"Monaco",2021,NA
"Monaco",2022,NA
"Monaco",2023,NA
"Mongolia",2021,5.721034049987793
"Mongolia",2022,5.787830352783203
"Mongolia",2023,5.579622745513916
"Montenegro",2022,5.600043296813965
"Montenegro",2023,5.813005447387695
"Morocco",2021,5.326248645782471
"Morocco",2022,4.59609317779541
"Morocco",2023,4.486514091491699
"Mozambique",2021,5.1784868240356445
"Mozambique",2022,4.739677429199219
"Mozambique",2023,5.704499244689941
"Myanmar",2021,4.314039707183838
"Myanmar",2022,4.35906982421875
"Myanmar",2023,4.390633583068848
"Namibia",2021,4.491207122802734
"Namibia",2022,4.948962688446045
"Namibia",2023,5.05532169342041
"Nauru",2021,NA
"Nauru",2022,NA
"Nauru",2023,NA
"Nepal",2021,4.622300148010254
"Nepal",2022,5.474175930023193
"Nepal",2023,5.388708114624023
"Netherlands",2021,7.314151287078857
"Netherlands",2022,7.389636039733887
"Netherlands",2023,7.254793643951416
"New Zealand",2021,7.136700630187988
"New Zealand",2022,6.974986553192139
"New Zealand",2023,6.975955486297607
"Nicaragua",2021,6.095348834991455
"Nicaragua",2022,6.3922576904296875
"Nicaragua",2023,6.362124919891357
"Niger",2022,4.501331329345703
"Niger",2023,4.6086578369140625
"Nigeria",2021,4.4792656898498535
"Nigeria",2022,5.294247150421143
"Nigeria",2023,4.8689374923706055
"North Korea",2021,NA
"North Korea",2022,NA
"North Korea",2023,NA
"North Macedonia",2021,5.534749984741211
"North Macedonia",2022,5.166881561279297
"North Macedonia",2023,5.403024673461914
"Norway",2021,7.361573696136475
"Norway",2022,7.294604301452637
"Norway",2023,7.248675346374512
"Pakistan",2021,4.486834526062012
"Pakistan",2022,4.930678367614746
"Pakistan",2023,4.549314498901367
"Palau",2021,NA
"Palau",2022,NA
"Palau",2023,NA
"Panama",2021,6.552778720855713
"Panama",2022,5.979382038116455
"Panama",2023,6.543289661407471
"Papua New Guinea",2021,NA
"Papua New Guinea",2022,NA
"Papua New Guinea",2023,NA
"Paraguay",2021,5.575535297393799
"Paraguay",2022,6.1376118659973145
"Paraguay",2023,6.2137885093688965
"Peru",2021,5.694317817687988
"Peru",2022,5.892068862915039
"Peru",2023,5.935666084289551
"Philippines",2021,5.965057849884033
"Philippines",2022,5.994960308074951
"Philippines",2023,6.183511734008789
"Poland",2021,5.978068828582764
"Poland",2022,6.66626501083374
"Poland",2023,6.684652805328369
"Portugal",2021,6.183014392852783
"Portugal",2022,5.952542781829834
"Portugal",2023,5.954010963439941
"Romania",2021,6.548725605010986
"Romania",2022,6.436973571777344
"Romania",2023,6.488589763641357
"Russia",2021,5.448261260986328
"Russia",2022,6.04407262802124
"Russia",2023,5.86481237411499
"Saint Kitts and Nevis",2021,NA
"Saint Kitts and Nevis",2022,NA
"Saint Kitts and Nevis",2023,NA
"Saint Lucia",2021,NA
"Saint Lucia",2022,NA
"Saint Lucia",2023,NA
"Saint Vincent and the Grenadines",2021,NA
"Saint Vincent and the Grenadines",2022,NA
"Saint Vincent and the Grenadines",2023,NA
"Samoa",2021,NA
"Samoa",2022,NA
"Samoa",2023,NA
"San Marino",2021,NA
"San Marino",2022,NA
"San Marino",2023,NA
"Sao Tome and Principe",2021,NA
"Sao Tome and Principe",2022,NA
"Sao Tome and Principe",2023,NA
"Saudi Arabia",2021,6.445294380187988
"Saudi Arabia",2022,6.38161039352417
"Saudi Arabia",2023,6.953373908996582
"Senegal",2021,4.902830600738525
"Senegal",2022,4.906819820404053
"Senegal",2023,5.0927252769470215
"Serbia",2021,6.245267391204834
"Serbia",2022,6.545587539672852
"Serbia",2023,6.441013813018799
"Seychelles",2021,NA
"Seychelles",2022,NA
"Seychelles",2023,NA
"Sierra Leone",2021,3.71429443359375
"Sierra Leone",2022,2.560429573059082
"Sierra Leone",2023,3.4665777683258057
"Singapore",2021,6.586717128753662
"Singapore",2022,6.333045959472656
"Singapore",2023,6.653942108154297
"Slovakia",2021,6.418503761291504
"Slovakia",2022,6.0910820960998535
"Slovakia",2023,6.26052188873291
"Slovenia",2021,6.761220932006836
"Slovenia",2022,6.723397731781006
"Slovenia",2023,6.7457685470581055
"Solomon Islands",2021,NA
"Solomon Islands",2022,NA
"Solomon Islands",2023,NA
"South Africa",2021,5.598653793334961
"South Africa",2022,5.581030368804932
"South Africa",2023,5.075719356536865
"South Korea",2021,6.11274528503418
"South Korea",2022,5.950013637542725
"South Korea",2023,6.111918926239014
"Spain",2021,6.469611167907715
"Spain",2022,6.336902141571045
"Spain",2023,6.456033229827881
"Sri Lanka",2021,4.103446960449219
"Sri Lanka",2022,3.9848601818084717
"Sri Lanka",2023,3.602454900741577
"State of Palestine",2022,4.907760143280029
"State of Palestine",2023,4.851185321807861
"Sweden",2021,7.439280033111572
"Sweden",2022,7.431214332580566
"Sweden",2023,7.1607770919799805
"Switzerland",2021,7.327672481536865
"Switzerland",2022,6.883844375610352
"Switzerland",2023,6.968832969665527
"Taiwan Province of China",2021,6.246744155883789
"Taiwan Province of China",2022,6.607147216796875
"Taiwan Province of China",2023,6.655351638793945
"Tajikistan",2021,5.2868242263793945
"Tajikistan",2022,5.175915241241455
"Tajikistan",2023,5.3794708251953125
"Tanzania",2021,3.680567979812622
"Tanzania",2022,3.615845203399658
"Tanzania",2023,4.042028427124023
"Thailand",2021,5.638096809387207
"Thailand",2022,6.00711727142334
"Thailand",2023,6.282364368438721
"Togo",2021,4.036543846130371
"Togo",2022,4.238982200622559
"Togo",2023,4.364938735961914
"Tonga",2021,NA
"Tonga",2022,NA
"Tonga",2023,NA
"Tunisia",2021,4.499485969543457
"Tunisia",2022,4.260868072509766
"Tunisia",2023,4.505141258239746
"Tuvalu",2021,NA
"Tuvalu",2022,NA
"Tuvalu",2023,NA
"Türkiye",2021,4.366639614105225
"Türkiye",2022,5.093441486358643
"Türkiye",2023,5.462700366973877
"Uganda",2021,4.224533557891846
"Uganda",2022,4.4246954917907715
"Uganda",2023,4.466518878936768
"Ukraine",2021,5.311355113983154
"Ukraine",2022,4.637436389923096
"Ukraine",2023,4.672444820404053
"United Arab Emirates",2021,6.733067512512207
"United Arab Emirates",2022,6.737605571746826
"United Arab Emirates",2023,6.728384017944336
"United Kingdom",2021,6.86696195602417
"United Kingdom",2022,6.721779823303223
"United Kingdom",2023,6.658042907714844
"United States",2021,6.95908784866333
"United States",2022,6.6927900314331055
"United States",2023,6.520872116088867
"Uruguay",2021,6.501700401306152
"Uruguay",2022,6.6708526611328125
"Uruguay",2023,6.661721706390381
"Uzbekistan",2021,6.18530797958374
"Uzbekistan",2022,6.016238689422607
"Uzbekistan",2023,6.3853607177734375
"Vanuatu",2021,NA
"Vanuatu",2022,NA
"Vanuatu",2023,NA
"Vatican City",2021,NA
"Vatican City",2022,NA
"Vatican City",2023,NA
"Venezuela",2021,5.107553005218506
"Venezuela",2022,5.9489922523498535
"Venezuela",2023,5.7653632164001465
"Vietnam",2021,5.540249824523926
"Vietnam",2022,6.26650857925415
"Vietnam",2023,6.325115203857422
"Yemen",2022,3.590378522872925
"Yemen",2023,3.531573534011841
"Zambia",2021,3.0821549892425537
"Zambia",2022,3.7280983924865723
"Zambia",2023,3.68556809425354
"Zimbabwe",2021,3.15457820892334
"Zimbabwe",2022,3.29621958732605
"Zimbabwe",2023,3.5723862648010254
